Prism Launcher Version,Client version,Protocol version,Data version,Resource pack format,Data pack format
1.21.4-pre-2,1.21.4 Pre-Release 2,0x400000E0,4182,46,61
1.21.4-pre-1,1.21.4 Pre-Release 1,0x400000DF,4179,46,60
24w46a,24w46a,0x400000DE,4178,45,60
24w45a,24w45a,0x400000DD,4177,44,59
24w44a,24w44a,0x400000DC,4174,43,58
1.21.3,1.21.3,768,4082,42,57
1.21.2,1.21.2,768,4080,42,57
1.21.2-rc-2,1.21.2 Release Candidate 2,0x400000DB,4079,42,57
1.21.2-rc-1,1.21.2 Release Candidate 1,0x400000DA,4078,42,57
1.21.2-pre-5,1.21.2 Pre-Release 5,0x400000D9,4077,42,57
1.21.2-pre-4,1.21.2 Pre-Release 4,0x400000D8,4076,42,57
1.21.2-pre-3,1.21.2 Pre-Release 3,0x400000D7,4075,42,57
1.21.2-pre-2,1.21.2 Pre-Release 2,0x400000D6,4074,41,57
1.21.2-pre-1,1.21.2 Pre-Release 1,0x400000D5,4073,41,57
24w40a,24w40a,0x400000D4,4072,40,56
24w39a,24w39a,0x400000D3,4069,39,55
24w38a,24w38a,0x400000D2,4066,39,54
24w37a,24w37a,0x400000D1,4065,38,53
24w36a,24w36a,0x400000D0,4063,37,52
24w35a,24w35a,0x400000CF,4062,36,51
24w34a,24w34a,0x400000CE,4060,36,50
24w33a,24w33a,0x400000CD,4058,35,49
1.21.1,1.21.1,767,3955,34,48
1.21.1-rc-1,1.21.1 Release Candidate 1,0x400000CC,3954,34,48
1.21,1.21,767,3953,34,48
1.21-rc-1,1.21 Release Candidate 1,0x400000CB,3952,34,48
1.21-pre-4,1.21 Pre-Release 4,0x400000CA,3951,34,48
1.21-pre-3,1.21 Pre-Release 3,0x400000C9,3950,34,48
1.21-pre-2,1.21 Pre-Release 2,0x400000C8,3949,34,47
1.21-pre-1,1.21 Pre-Release 1,0x400000C7,3948,34,46
24w21b,24w21b,0x400000C6,3947,34,45
24w21a,24w21a,0x400000C5,3946,34,45
24w20a,24w20a,0x400000C4,3944,33,44
24w19b,24w19b,0x400000C3,3942,33,43
24w19a,24w19a,0x400000C2,3941,33,43
24w18a,24w18a,0x400000C1,3940,33,42
1.20.6,1.20.6,766,3839,32,41
1.20.6-rc-1,1.20.6 Release Candidate 1,0x400000C0,3838,32,41
1.20.5,1.20.5,766,3837,32,41
1.20.5-rc-3,1.20.5 Release Candidate 3,0x400000BF,3836,32,41
1.20.5-rc-2,1.20.5 Release Candidate 2,0x400000BE,3835,32,41
1.20.5-rc-1,1.20.5 Release Candidate 1,0x400000BD,3834,32,41
1.20.5-pre-4,1.20.5 Pre-Release 4,0x400000BC,3832,32,41
1.20.5-pre-3,1.20.5 Pre-Release 3,0x400000BB,3831,31,41
1.20.5-pre-2,1.20.5 Pre-Release 2,0x400000BA,3830,31,40
1.20.5-pre-1,1.20.5 Pre-Release 1,0x400000B9,3829,31,39
24w14a,24w14a,0x400000B8,3827,31,38
24w13a,24w13a,0x400000B6,3826,31,37
24w12a,24w12a,0x400000B5,3824,30,36
24w11a,24w11a,0x400000B4,3823,29,35
24w10a,24w10a,0x400000B3,3821,28,34
24w09a,24w09a,0x400000B2,3819,28,33
24w07a,24w07a,0x400000B1,3817,26,32
24w06a,24w06a,0x400000B0,3815,26,31
24w05b,24w05b,0x400000AF,3811,25,30
24w05a,24w05a,0x400000AD,3809,25,30
24w04a,24w04a,0x400000AD,3806,24,29
24w03b,24w03b,0x400000AC,3805,24,28
24w03a,24w03a,0x400000AB,3804,24,28
23w51b,23w51b,0x400000AA,3802,22,27
23w51a,23w51a,0x400000A9,3801,22,27
1.20.4,1.20.4,765,3700,22,26
1.20.4-rc-1,1.20.4 Release Candidate 1,0x400000A9,3699,22,26
1.20.3,1.20.3,765,3698,22,26
1.20.3-rc-1,1.20.3 Release Candidate 1,0x400000A8,3697,22,26
1.20.3-pre-4,1.20.3 Pre-Release 4,0x400000A7,3696,22,26
1.20.3-pre-3,1.20.3 Pre-Release 3,0x400000A6,3695,22,26
1.20.3-pre-2,1.20.3 Pre-Release 2,0x400000A5,3694,22,26
1.20.3-pre-1,1.20.3 Pre-Release 1,0x400000A4,3693,22,26
23w46a,23w46a,0x400000A3,3691,21,25
23w45a,23w45a,0x400000A2,3690,21,24
23w44a,23w44a,0x400000A1,3688,20,23
23w43b,23w43b,0x400000A0,3687,20,22
23w43a,23w43a,0x4000009F,3686,20,22
23w42a,23w42a,0x4000009D,3684,19,21
23w41a,23w41a,0x4000009C,3681,18,20
23w40a,23w40a,0x4000009A,3679,18,19
1.20.2,1.20.2,764,3578,18,18
1.20.2-rc-2,1.20.2 Release Candidate 2,0x40000099,3577,18,18
1.20.2-rc-1,1.20.2 Release Candidate 1,0x40000098,3576,18,18
1.20.2-pre-4,1.20.2 Pre-Release 4,0x40000097,3575,18,18
1.20.2-pre-3,1.20.2 Pre-Release 3,0x40000096,3574,18,18
1.20.2-pre-2,1.20.2 Pre-release 2,0x40000095,3573,18,18
1.20.2-pre-1,1.20.2 Pre-release 1,0x40000094,3572,17,18
23w35a,23w35a,0x40000093,3571,17,17
23w33a,23w33a,0x40000092,3570,17,17
23w32a,23w32a,0x40000091,3569,17,17
23w31a,23w31a,0x40000090,3567,16,16
1.20.1,1.20.1,763,3465,15,15
1.20.1-rc-1,1.20.1 Release Candidate 1,0x4000008E,3464,15,15
1.20,1.20,763,3463,15,15
1.20-rc-1,1.20 Release Candidate 1,0x4000008D,3462,15,15
1.20-pre-7,1.20 Pre-release 7,0x4000008C,3461,15,15
1.20-pre-6,1.20 Pre-release 6,0x4000008B,3460,15,15
1.20-pre-5,1.20 Pre-release 5,0x4000008A,3458,15,15
1.20-pre-4,1.20 Pre-release 4,0x40000089,3457,15,15
1.20-pre-3,1.20 Pre-release 3,0x40000088,3456,15,15
1.20-pre-2,1.20 Pre-release 2,0x40000087,3455,15,15
1.20-pre-1,1.20 Pre-release 1,0x40000086,3454,15,15
23w18a,23w18a,0x40000085,3453,15,15
23w17a,23w17a,0x40000084,3452,15,14
23w16a,23w16a,0x40000083,3449,14,14
23w14a,23w14a,0x40000082,3445,14,13
23w13a,23w13a,0x40000080,3443,13,13
23w12a,23w12a,0x4000007F,3442,13,13
1.19.4,1.19.4,762,3337,13,12
1.19.4-rc-3,1.19.4 Release Candidate 3,0x4000007E,3336,13,12
1.19.4-rc-2,1.19.4 Release Candidate 2,0x4000007D,3335,13,12
1.19.4-rc-1,1.19.4 Release Candidate 1,0x4000007C,3334,13,12
1.19.4-pre-4,1.19.4 Pre-release 4,0x4000007B,3333,13,12
1.19.4-pre-3,1.19.4 Pre-release 3,0x4000007A,3332,13,12
1.19.4-pre-2,1.19.4 Pre-release 2,0x40000079,3331,13,12
1.19.4-pre-1,1.19.4 Pre-release 1,0x40000078,3330,13,12
23w07a,23w07a,0x40000077,3329,12,12
23w06a,23w06a,0x40000076,3326,12,12
23w05a,23w05a,0x40000075,3323,12,11
23w04a,23w04a,0x40000074,3321,12,11
23w03a,23w03a,0x40000073,3320,12,11
1.19.3,1.19.3,761,3218,12,10
1.19.3-rc-3,1.19.3 Release Candidate 3,0x40000072,3217,12,10
1.19.3-rc-2,1.19.3 Release Candidate 2,0x40000071,3216,12,10
1.19.3-rc-1,1.19.3 Release Candidate 1,0x40000070,3215,12,10
1.19.3-pre-3,1.19.3 Pre-release 3,0x4000006F,3213,12,10
1.19.3-pre-2,1.19.3 Pre-release 2,0x4000006E,3212,12,10
1.19.3-pre-1,1.19.3 Pre-release 1,0x4000006D,3211,12,10
22w46a,22w46a,0x4000006C,3210,12,10
22w45a,22w45a,0x4000006B,3208,12,10
22w44a,22w44a,0x4000006A,3207,11,10
22w43a,22w43a,0x40000069,3206,11,10
22w42a,22w42a,0x40000068,3205,11,10
1.19.2,1.19.2,760,3120,9,10
1.19.2-rc-2,1.19.2 Release Candidate 2,0x40000067,3119,9,10
1.19.2-rc-1,1.19.2 Release Candidate 1,0x40000066,3118,9,10
1.19.1,1.19.1,760,3117,9,10
1.19.1-rc-3,1.19.1 Release Candidate 3,0x40000065,3116,9,10
1.19.1-rc-2,1.19.1 Release Candidate 2,0x40000064,3115,9,10
1.19.1-pre-6,1.19.1 Pre-release 6,0x40000063,3114,9,10
1.19.1-pre-5,1.19.1 Pre-release 5,0x40000062,3113,9,10
1.19.1-pre-4,1.19.1 Pre-release 4,0x40000061,3112,9,10
1.19.1-pre-3,1.19.1 Pre-release 3,0x40000060,3111,9,10
1.19.1-pre-2,1.19.1 Pre-release 2,0x4000005F,3110,9,10
1.19.1-rc-1,1.19.1 Release Candidate 1,0x4000005E,3109,9,10
1.19.1-pre-1,1.19.1 Pre-release 1,0x4000005D,3107,9,10
22w24a,22w24a,0x4000005C,3106,9,10
1.19,1.19,759,3105,9,10
1.19-rc-2,1.19 Release Candidate 2,0x4000005B,3104,9,10
1.19-rc-1,1.19 Release Candidate 1,0x4000005A,3103,9,10
1.19-pre-5,1.19 Pre-release 5,0x40000059,3102,9,10
1.19-pre-4,1.19 Pre-release 4,0x40000058,3101,9,10
1.19-pre-3,1.19 Pre-release 3,0x40000057,3100,9,10
1.19-pre-2,1.19 Pre-release 2,0x40000056,3099,9,10
1.19-pre-1,1.19 Pre-release 1,0x40000055,3098,9,10
22w19a,22w19a,0x40000054,3096,9,10
22w18a,22w18a,0x40000053,3095,9,10
22w17a,22w17a,0x40000052,3093,9,10
22w16b,22w16b,0x40000051,3092,9,10
22w16a,22w16a,0x40000050,3091,9,10
22w15a,22w15a,0x4000004F,3089,9,10
22w14a,22w14a,0x4000004E,3088,9,10
22w13a,22w13a,0x4000004C,3085,9,10
22w12a,22w12a,0x4000004B,3082,9,10
22w11a,22w11a,0x4000004A,3080,9,10
1.19_deep_dark_experimental_snapshot-1,1.19 Deep Dark Experimental Snapshot 1,0x40000045,3066,8,8
1.18.2,1.18.2,758,2975,8,9
1.18.2-rc-1,1.18.2 Release Candidate 1,0x40000049,2974,8,9
1.18.2-pre-3,1.18.2 Pre-release 3,0x40000048,2973,8,9
1.18.2-pre-2,1.18.2 Pre-release 2,0x40000047,2972,8,9
1.18.2-pre-1,1.18.2 Pre-release 1,0x40000046,2971,8,9
22w07a,22w07a,0x40000044,2969,8,8
22w06a,22w06a,0x40000043,2968,8,8
22w05a,22w05a,0x40000042,2967,8,8
22w03a,22w03a,0x40000041,2966,8,8
1.18.1,1.18.1,757,2865,8,8
1.18.1-rc-3,1.18.1 Release Candidate 3,0x40000040,2864,8,8
1.18.1-rc-2,1.18.1 Release Candidate 2,0x4000003F,2863,8,8
1.18.1-rc-1,1.18.1 Release Candidate 1,0x4000003E,2862,8,8
1.18.1-pre-1,1.18.1 Pre-release 1,0x4000003D,2861,8,8
1.18,1.18,757,2860,8,8
1.18-rc-4,1.18 Release Candidate 4,0x4000003C,2859,8,8
1.18-rc-3,1.18 Release Candidate 3,0x4000003B,2858,8,8
1.18-rc-2,1.18 Release Candidate 2,0x4000003A,2857,8,8
1.18-rc-1,1.18 Release Candidate 1,0x40000039,2856,8,8
1.18-pre-8,1.18 Pre-release 8,0x40000038,2855,8,8
1.18-pre-7,1.18 Pre-release 7,0x40000037,2854,8,8
1.18-pre-6,1.18 Pre-release 6,0x40000036,2853,8,8
1.18-pre-5,1.18 Pre-release 5,0x40000035,2851,8,8
1.18-pre-4,1.18 Pre-release 4,0x40000034,2850,8,8
1.18-pre-3,1.18 Pre-release 3,0x40000033,2849,8,8
1.18-pre-2,1.18 Pre-release 2,0x40000032,2848,8,8
1.18-pre-1,1.18 Pre-release 1,0x40000031,2847,8,8
21w44a,21w44a,0x40000030,2845,8,8
21w43a,21w43a,0x4000002F,2844,8,8
21w42a,21w42a,0x4000002E,2840,8,8
21w41a,21w41a,0x4000002D,2839,8,8
21w40a,21w40a,0x4000002C,2838,8,8
21w39a,21w39a,0x4000002B,2836,8,8
21w38a,21w38a,0x4000002A,2835,7,8
21w37a,21w37a,0x40000029,2834,7,8
1.18_experimental-snapshot-7,1.18 experimental snapshot 7,0x4000002F,2831,7,7
1.18_experimental-snapshot-6,1.18 experimental snapshot 6,0x4000002E,2830,7,7
1.18_experimental-snapshot-5,1.18 experimental snapshot 5,0x4000002D,2829,7,7
1.18_experimental-snapshot-4,1.18 experimental snapshot 4,0x4000002C,2828,7,7
1.18_experimental-snapshot-3,1.18 experimental snapshot 3,0x4000002B,2827,7,7
1.18_experimental-snapshot-2,1.18 experimental snapshot 2,0x4000002A,2826,7,7
1.18_experimental-snapshot-1,1.18 Experimental Snapshot 1,0x40000029,2825,7,7
